iter	Passed	Remaining
1128	3667	1205
1129	3671	1202
1130	3674	1198
1131	3677	1195
1132	3681	1192
1133	3685	1189
1134	3688	1186
1135	3692	1183
1136	3696	1179
1137	3699	1176
1138	3703	1173
1139	3706	1170
1140	3709	1167
1141	3713	1163
1142	3716	1160
1143	3720	1157
1144	3723	1154
1145	3726	1151
1146	3730	1148
1147	3733	1144
1148	3736	1141
1149	3739	1138
1150	3742	1134
1151	3746	1131
1152	3750	1128
1153	3753	1125
1154	3756	1122
1155	3761	1119
1156	3764	1116
1157	3768	1113
1158	3772	1110
1159	3775	1106
1160	3780	1103
1161	3782	1100
1162	3785	1096
1163	3788	1093
1164	3792	1090
1165	3795	1087
1166	3799	1084
1167	3802	1080
1168	3806	1077
1169	3810	1074
1170	3813	1071
1171	3817	1068
1172	3822	1065
1173	3825	1062
1174	3828	1059
1175	3832	1055
1176	3835	1052
1177	3839	1049
1178	3843	1046
1179	3846	1043
1180	3849	1039
1181	3853	1036
1182	3856	1033
1183	3860	1030
1184	3863	1027
1185	3866	1023
1186	3869	1020
1187	3872	1017
1188	3875	1013
1189	3879	1010
1190	3883	1007
1191	3886	1004
1192	3889	1001
1193	3892	997
1194	3895	994
1195	3899	991
1196	3902	987
1197	3906	984
1198	3909	981
1199	3912	978
1200	3916	974
1201	3919	971
1202	3922	968
1203	3925	965
1204	3928	961
1205	3932	958
1206	3935	955
1207	3939	952
1208	3943	949
1209	3947	946
1210	3950	942
1211	3952	939
1212	3956	936
1213	3959	932
1214	3963	929
1215	3967	926
1216	3970	923
1217	3974	920
1218	3978	917
1219	3982	914
1220	3985	910
1221	3989	907
1222	3992	904
1223	3995	901
1224	3998	897
1225	4002	894
1226	4005	891
1227	4008	887
1228	4011	884
1229	4015	881
1230	4018	878
1231	4021	874
1232	4025	871
1233	4028	868
1234	4031	865
1235	4035	861
1236	4038	858
1237	4041	855
1238	4044	852
1239	4048	848
1240	4052	845
1241	4055	842
1242	4058	839
1243	4060	835
1244	4064	832
1245	4067	829
1246	4070	825
1247	4074	822
1248	4077	819
1249	4081	816
1250	4084	812
1251	4087	809
1252	4091	806
1253	4095	803
1254	4098	800
1255	4102	796
1256	4106	793
1257	4110	790
1258	4113	787
1259	4116	784
1260	4119	780
1261	4123	777
1262	4127	774
1263	4131	771
1264	4135	768
1265	4138	764
1266	4141	761
1267	4145	758
1268	4148	755
1269	4151	751
1270	4153	748
1271	4157	745
1272	4160	741
1273	4163	738
1274	4167	735
1275	4170	732
1276	4172	728
1277	4175	725
1278	4178	722
1279	4181	718
1280	4184	715
1281	4188	712
1282	4192	709
1283	4195	705
1284	4198	702
1285	4201	699
1286	4204	695
1287	4208	692
1288	4212	689
1289	4215	686
1290	4218	683
1291	4222	679
1292	4225	676
1293	4229	673
1294	4232	669
1295	4235	666
1296	4238	663
1297	4242	660
1298	4245	656
1299	4249	653
1300	4253	650
1301	4257	647
1302	4261	644
1303	4264	640
1304	4267	637
1305	4271	634
1306	4275	631
1307	4279	628
1308	4282	624
1309	4285	621
1310	4288	618
1311	4291	614
1312	4295	611
1313	4299	608
1314	4302	605
1315	4305	601
1316	4307	598
1317	4311	595
1318	4314	591
1319	4316	588
1320	4319	585
1321	4322	582
1322	4326	578
